City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Masallatah,LY,75.13,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
2,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Rikitea,PF,75.0,light rain,-23.1203,-134.9692,People ThankYou
4,Puerto Colombia,CO,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
5,Buala,SB,79.32,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
22,Bambanglipuro,ID,76.91,overcast clouds,-7.95,110.2833,Puri Brata
23,Atuona,PF,78.26,light rain,-9.8,-139.0333,Villa Enata
24,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
27,Vanimo,PG,78.26,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
28,San Patricio,US,87.69,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
29,Boyolangu,ID,76.32,overcast clouds,-8.1181,111.8935,Yos ega cv
32,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
34,Petatlan,MX,87.6,clear sky,17.5167,-101.2667,Hotel California Petatlán
37,Bobo Dioulasso,BF,82.58,light rain,11.1771,-4.2979,IBA Hotel
41,Isangel,VU,76.12,scattered clouds,-19.55,169.2667,Tanna Lodge
42,Avarua,CK,80.65,clear sky,-21.2078,-159.775,Paradise Inn
47,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
49,Faanui,PF,80.6,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
52,Hithadhoo,MV,83.34,overcast clouds,-0.6,73.0833,Scoop Guest House
54,Kloulklubed,PW,78.26,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
60,Jaten,ID,75.7,overcast clouds,-7.5772,110.8975,Loh Agung 6 B10
61,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
64,Hilo,US,88.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
68,Amahai,ID,77.11,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
75,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
76,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
77,Kieta,PG,77.9,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
85,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
94,Sechura,PE,75.54,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
96,Bhikangaon,IN,92.16,broken clouds,21.8667,75.95,Vaishno Devi Mandir shakuntala niwas
97,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
98,Biak,ID,77.16,overcast clouds,-0.9131,122.8766,Penginapan Kim
102,Tautira,PF,79.14,scattered clouds,-17.7333,-149.15,Pension Oaoa
103,Urumqi,CN,77.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
109,Mahibadhoo,MV,82.67,overcast clouds,3.7833,72.9667,Omadhoo Inn
116,Axim,GH,78.82,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
118,Butaritari,KI,81.73,light rain,3.0707,172.7902,Isles Sunset Lodge
122,Karimpur,IN,82.8,clear sky,23.9667,88.6167,gabrudanga jumma masjid
123,Road Town,VG,84.24,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
125,Lorengau,PG,79.3,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
131,Belmonte,BR,75.79,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
136,Cururupu,BR,78.91,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
137,Jamestown,US,75.02,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
141,Muisne,EC,78.49,broken clouds,0.6,-80.0333,Quinta Samay
150,Sao Jose Da Coroa Grande,BR,76.6,moderate rain,-8.8978,-35.1478,Crôa Mares Hotel
161,Cayenne,GF,86.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
162,Bethel,US,75.04,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
164,La Asuncion,VE,81.09,broken clouds,11.0333,-63.8628,Colinas de Matasiete
172,Hamilton,US,83.71,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
174,Butag,PH,79.74,overcast clouds,12.6292,123.9335,Butag Mini Resort
177,Tawau,MY,77.13,moderate rain,4.2498,117.8871,Shervinton Executive Boutique Hotel
178,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
193,Harlingen,US,87.76,broken clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
195,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
198,Kavaratti,IN,83.43,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
200,Damaturu,NG,90.34,clear sky,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
202,Labuhan,ID,79.93,light rain,-6.8844,112.2051,DoubleFAG
205,Bubaque,GW,78.1,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
206,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
220,Ambikapur,IN,77.18,scattered clouds,23.1167,83.2,Hotel Birendra Prabha
226,Oussouye,SN,78.98,overcast clouds,12.485,-16.5469,Auberge du Routard
231,Dwarka,IN,82.11,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
232,Ailigandi,PA,82.8,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
236,Odweyne,SO,80.4,overcast clouds,9.4092,45.064,Eng Hiirey House
241,Lompoc,US,78.53,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
246,Selcuk,TR,76.41,clear sky,37.9514,27.3685,Archeologica House Ephesus
248,Daru,PG,78.66,overcast clouds,-9.0763,143.2092,Daru Lodge
250,Arlit,NE,89.67,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
255,Vaitape,PF,80.56,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
270,Touros,BR,79.16,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
272,Gizo,SB,81.27,scattered clouds,-8.103,156.8419,Imagination Island
280,Pemba,MZ,79.5,scattered clouds,-12.974,40.5178,Guesthouse Samotina
283,Alappuzha,IN,80.58,few clouds,9.49,76.3264,Panoramic Sea Resort
284,Susangerd,IR,87.21,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
297,Bacolod,PH,79.02,broken clouds,10.6667,122.95,Planta Hotel & Residences
300,Balingasay,PH,81.99,overcast clouds,16.3573,119.8564,Rock Garden Resort
304,Matara,LK,78.1,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
305,Butler,US,82.54,scattered clouds,39.4501,-84.5666,The Lodge Activity Center
307,Hargeysa,SO,75.4,overcast clouds,9.56,44.065,City Center Hotel
308,Ca Mau,VN,81.41,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
309,Nanakuli,US,84.15,scattered clouds,21.3906,-158.1547,Camp Pālehua
310,Tual,ID,81.32,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
312,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
313,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
320,Cabedelo,BR,75.87,light rain,-6.9811,-34.8339,Hotel Pigalle
323,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
327,Ensley,US,84.09,scattered clouds,30.5188,-87.2728,Holiday Inn Express & Suites Pensacola W I-10
329,Bandarbeyla,SO,80.47,scattered clouds,9.4942,50.8122,JABIR HOTEL
334,Sibolga,ID,76.59,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
336,Tambopata,PE,78.69,broken clouds,-12.7333,-69.1833,Enashawa Lodge
337,Kavieng,PG,80.42,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
338,Takoradi,GH,78.96,light rain,4.8845,-1.7554,Raybow International Hotel
341,Limbe,CM,78.46,light rain,4.0242,9.2149,The LK Hotel at Bonadikombo
343,Cape Canaveral,US,87.08,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
348,Cockburn Town,TC,79.56,clear sky,21.4612,-71.1419,Osprey Beach Hotel
349,Ormara,PK,81.73,clear sky,25.2088,64.6357,Kenara Colony house for Rent
350,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
351,Palmer,US,76.64,broken clouds,42.1584,-72.3287,Wedgewood Motel
355,Padang,ID,77.32,overcast clouds,-0.9492,100.3543,Mercure Padang
359,Azua,DO,84.99,few clouds,18.4532,-70.7349,Cabañas Sexy Home
361,Poso,ID,78.48,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
362,Nuevitas,CU,83.53,few clouds,21.5453,-77.2644,Hotel Caonaba
365,Banting,MY,75.34,overcast clouds,2.8167,101.5,Hotel Intan Jugra
368,Coos Bay,US,79.32,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
371,Manali,IN,86.09,clear sky,13.1667,80.2667,Sarathy Lodge
373,Hirara,JP,75.18,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
380,Ugoofaaru,MV,82.54,overcast clouds,5.6667,73.0,Ungoofaaru Inn
390,Canguaretama,BR,75.47,light rain,-6.38,-35.1289,Pousada do Italiano
393,Lazaro Cardenas,MX,84.27,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
397,Kralendijk,BQ,84.18,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
400,Remanso,BR,81.48,broken clouds,-9.6179,-42.0831,Hotel Mangueira
403,Sabang,ID,83.46,broken clouds,5.8933,95.3214,Hotel Citra
406,Pachperwa,IN,79.38,clear sky,27.5167,82.65,Manglam mairrage haal
410,Kourou,GF,86.05,scattered clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
411,Bembereke,BJ,82.45,broken clouds,10.2283,2.6634,Hotel Bio Guera
412,Palmerston,AU,75.18,clear sky,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
414,Mogadishu,SO,79.65,overcast clouds,2.0371,45.3438,Hotel Juba
418,Nueva Loja,EC,77.02,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
421,Victoria,HK,79.32,scattered clouds,22.2855,114.1577,Mini Central
422,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
426,Cefalu,IT,78.55,broken clouds,38.0386,14.0229,Hotel La Giara
435,Honiara,SB,77.16,few clouds,-9.4333,159.95,Heritage Park Hotel
437,Davila,PH,81.54,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
439,Beni Mazar,EG,82.8,clear sky,28.4962,30.8029,Link Co-Working space & Development center
440,Nong Phai,TH,77.49,overcast clouds,15.9903,101.0618,เอ็ม.เจ รีสอร์ท
441,Kudahuvadhoo,MV,82.6,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
448,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
