City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Masallatah,LY,32.6167,14.0,75.13,40,2,11.9,clear sky
1,San Luis,AR,-33.295,-66.3356,44.91,72,69,24.47,broken clouds
2,Kapaa,US,22.0752,-159.319,78.78,73,40,11.5,scattered clouds
3,Rikitea,PF,-23.1203,-134.9692,75.0,76,21,6.53,light rain
4,Puerto Colombia,CO,10.9878,-74.9547,84.29,76,100,13.38,overcast clouds
5,Buala,SB,-8.145,159.5921,79.32,82,44,4.68,scattered clouds
6,Carnarvon,AU,-24.8667,113.6333,71.24,65,100,8.79,overcast clouds
7,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,4.61,broken clouds
8,Saint-Philippe,RE,-21.3585,55.7679,69.39,76,13,3.0,few clouds
9,Beasain,ES,43.0502,-2.2009,60.08,95,39,4.94,light rain
10,Castro,BR,-24.7911,-50.0119,63.88,64,0,4.79,clear sky
11,Jiaozuo,CN,35.2397,113.2331,67.17,33,100,1.19,overcast clouds
12,Busselton,AU,-33.65,115.3333,53.85,85,0,4.76,clear sky
13,Cape Town,ZA,-33.9258,18.4232,61.12,94,75,4.0,light rain
14,Thinadhoo,MV,0.5333,72.9333,83.03,71,66,5.5,broken clouds
15,Kodiak,US,57.79,-152.4072,51.31,71,100,8.05,overcast clouds
16,Cervo,ES,43.6702,-7.4101,57.96,86,14,2.46,few clouds
17,Punta Arenas,CL,-53.15,-70.9167,44.62,75,20,17.27,few clouds
18,Nizhniy Baskunchak,RU,48.2198,46.8311,57.76,59,48,8.55,scattered clouds
19,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,79,75,13.8,broken clouds
20,Ilo,PE,-17.6394,-71.3375,65.26,77,0,6.91,clear sky
21,Severo-Kurilsk,RU,50.6789,156.125,39.97,96,100,8.37,light rain
22,Bambanglipuro,ID,-7.95,110.2833,76.91,88,100,3.96,overcast clouds
23,Atuona,PF,-9.8,-139.0333,78.26,77,18,18.45,light rain
24,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,72,0,9.69,clear sky
25,East London,ZA,-33.0153,27.9116,63.95,74,3,14.67,clear sky
26,Vanavara,RU,60.34,102.2797,46.38,91,98,8.14,overcast clouds
27,Vanimo,PG,-2.6741,141.3028,78.26,83,100,0.56,overcast clouds
28,San Patricio,US,28.017,-97.5169,87.69,69,99,15.08,overcast clouds
29,Boyolangu,ID,-8.1181,111.8935,76.32,91,100,2.89,overcast clouds
30,Cabra,ES,37.4725,-4.4421,60.19,31,18,6.15,few clouds
31,Naze,JP,28.3667,129.4833,70.32,91,100,7.81,overcast clouds
32,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,69,0,17.27,clear sky
33,Provideniya,RU,64.3833,-173.3,43.81,65,100,5.5,overcast clouds
34,Petatlan,MX,17.5167,-101.2667,87.6,52,10,9.28,clear sky
35,Ushuaia,AR,-54.8,-68.3,44.22,81,40,37.98,scattered clouds
36,Utete,TZ,-7.986,38.758,71.56,97,92,2.82,overcast clouds
37,Bobo Dioulasso,BF,11.1771,-4.2979,82.58,48,84,3.24,light rain
38,North Platte,US,41.1239,-100.7654,64.29,45,20,23.02,few clouds
39,Mataura,NZ,-46.1927,168.8643,40.48,97,21,2.57,few clouds
40,Narsaq,GL,60.9167,-46.05,48.42,45,50,3.38,scattered clouds
41,Isangel,VU,-19.55,169.2667,76.12,80,29,4.9,scattered clouds
42,Avarua,CK,-21.2078,-159.775,80.65,78,10,5.75,clear sky
43,Coihaique,CL,-45.5752,-72.0662,39.81,70,20,0.0,few clouds
44,Port Alfred,ZA,-33.5906,26.891,62.19,82,0,7.0,clear sky
45,Upernavik,GL,72.7868,-56.1549,25.12,62,78,9.04,broken clouds
46,Aklavik,CA,68.2191,-135.0107,44.22,62,96,2.93,overcast clouds
47,Bathsheba,BB,13.2167,-59.5167,84.81,70,20,17.27,few clouds
48,Khatanga,RU,71.9667,102.5,27.36,91,71,4.92,broken clouds
49,Faanui,PF,-16.4833,-151.75,80.6,66,6,13.73,clear sky
50,Tuktoyaktuk,CA,69.4541,-133.0374,34.03,82,98,3.56,overcast clouds
51,Yellowknife,CA,62.456,-114.3525,55.56,30,16,5.99,few clouds
52,Hithadhoo,MV,-0.6,73.0833,83.34,65,100,3.87,overcast clouds
53,Mahebourg,MU,-20.4081,57.7,71.26,70,10,8.99,clear sky
54,Kloulklubed,PW,7.0419,134.2556,78.26,85,100,12.77,overcast clouds
55,Hasaki,JP,35.7333,140.8333,59.29,79,0,8.19,clear sky
56,Coquimbo,CL,-29.9533,-71.3436,60.53,82,0,14.97,clear sky
57,Lebu,CL,-37.6167,-73.65,51.44,76,14,17.67,few clouds
58,Saint-Francois,FR,46.4154,3.9054,58.44,63,0,2.3,clear sky
59,Souillac,MU,-20.5167,57.5167,72.68,75,0,7.61,clear sky
60,Jaten,ID,-7.5772,110.8975,75.7,91,100,0.63,overcast clouds
61,Vaini,TO,-21.2,-175.2,75.36,88,40,5.75,scattered clouds
62,Port Moresby,PG,-9.4431,147.1797,74.91,90,57,7.11,broken clouds
63,Boali,CF,4.8005,18.1275,73.69,85,22,1.28,few clouds
64,Hilo,US,19.7297,-155.09,88.29,71,75,4.61,broken clouds
65,Pinega,RU,64.7001,43.3936,43.16,89,100,8.9,overcast clouds
66,Katsuura,JP,35.1333,140.3,65.01,83,25,5.66,scattered clouds
67,Cidreira,BR,-30.1811,-50.2056,67.95,81,7,10.78,clear sky
68,Amahai,ID,-3.3333,128.9167,77.11,82,99,3.49,overcast clouds
69,Fortuna,US,40.5982,-124.1573,69.93,66,0,16.11,clear sky
70,Areka,ET,7.0667,37.7,60.19,94,99,2.44,light rain
71,Ferrol,ES,43.4832,-8.2369,61.32,85,13,8.59,few clouds
72,Burns Lake,CA,54.2331,-125.7533,54.0,53,100,2.71,overcast clouds
73,Albany,US,42.6001,-73.9662,76.44,47,99,5.66,overcast clouds
74,Clyde River,CA,70.4692,-68.5914,21.04,89,100,19.86,light snow
75,Tiarei,PF,-17.5333,-149.3333,82.42,74,20,12.24,few clouds
76,Georgetown,MY,5.4112,100.3354,80.53,83,20,0.0,few clouds
77,Kieta,PG,-6.2167,155.6333,77.9,82,94,3.13,overcast clouds
78,Tasiilaq,GL,65.6145,-37.6368,37.56,86,100,2.48,overcast clouds
79,Mar Del Plata,AR,-38.0023,-57.5575,56.08,66,40,12.66,scattered clouds
80,Ola,RU,59.5833,151.2833,35.58,98,100,10.45,light rain
81,New Norfolk,AU,-42.7826,147.0587,45.91,88,10,2.82,clear sky
82,Hobart,AU,-42.8794,147.3294,46.26,93,7,5.75,clear sky
83,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,60.35,97,100,9.1,overcast clouds
84,Barrow,US,71.2906,-156.7887,33.82,86,20,17.27,few clouds
85,Alofi,NU,-19.0595,-169.9187,78.69,83,40,8.05,scattered clouds
86,Atikokan,CA,48.7555,-91.6216,56.41,55,100,11.72,overcast clouds
87,Were Ilu,ET,10.6,39.4333,57.49,38,7,6.46,clear sky
88,Horsham,GB,51.064,-0.3272,61.02,74,0,11.5,clear sky
89,Ilulissat,GL,69.2167,-51.1,39.22,41,40,11.5,scattered clouds
90,Sandy Bay,AU,-42.913,147.3532,46.29,93,6,5.75,clear sky
91,Broken Hill,AU,-31.95,141.4333,57.69,74,91,4.29,overcast clouds
92,Fort Nelson,CA,58.8053,-122.7002,58.86,43,100,1.57,overcast clouds
93,Powell River,CA,49.8496,-124.5361,65.08,82,75,13.8,broken clouds
94,Sechura,PE,-5.5569,-80.8222,75.54,60,28,13.49,scattered clouds
95,Bluff,NZ,-46.6,168.3333,40.8,69,78,5.61,broken clouds
96,Bhikangaon,IN,21.8667,75.95,92.16,39,52,13.38,broken clouds
97,Puerto Ayora,EC,-0.7393,-90.3518,76.96,85,67,11.01,broken clouds
98,Biak,ID,-0.9131,122.8766,77.16,87,100,6.13,overcast clouds
99,Saskylakh,RU,71.9167,114.0833,13.75,98,77,2.89,broken clouds
